Column,Alias,Independent,Dependent,Covariate,ymin,ymax,Poincare,Spectral,Transformation
MUID,MUID,0,0,0,,,0,0,
PlyUID,PlyUID,0,0,0,,,0,0,
Experimental_Date_record,Experimental_Date_record,0,0,0,,,0,0,
Experimental_Date_file,Experimental_Date_file,0,0,0,,,0,0,
time ended file,time ended file,0,0,0,,,0,0,
time started record,time started record,0,0,0,,,0,0,
run_duration,run_duration,0,0,0,,,0,0,
Misc. Variable 1 Value,Misc. Variable 1 Value,0,0,0,,,0,0,
Capoxen,Capoxen,0,0,0,,,0,0,
Timepoint,Timepoint,0,0,0,,,0,0,
Group,Group,0,0,0,,,0,0,
Sex,Sex,1,0,0,,,0,0,
Bigroup,Bigroup,0,0,0,,,0,0,
Weight,Weight,0,0,0,,,0,0,
Researcher,Researcher,0,0,0,,,0,0,
Experimental_Date,Experimental_Date,0,0,0,,,0,0,
time started,time started,0,0,0,,,0,0,
Rig,Rig,0,0,0,,,0,0,
Start_body_temperature,Start_body_temperature,0,0,0,,,0,0,
Mid_body_temperature,Mid_body_temperature,0,0,0,,,0,0,
End_body_temperature,End_body_temperature,0,0,0,,,0,0,
post30_body_temperature,post30_body_temperature,0,0,0,,,0,0,
Room_Temp,Room_Temp,0,0,0,,,0,0,
Bar_Pres,Bar_Pres,0,0,0,,,0,0,
Rotometer_Flowrate,Rotometer_Flowrate,0,0,0,,,0,0,
Pump Flowrate,Pump Flowrate,0,0,0,,,0,0,
Calibration_Volume,Calibration_Volume,0,0,0,,,0,0,
Notes,Notes,0,0,0,,,0,0,
Genotype,Genotype,0,0,0,,,0,0,
Date of Birth,Date of Birth,0,0,0,,,0,0,
Tag Number,Tag Number,0,0,0,,,0,0,
Alias,Alias,0,0,0,,,0,0,
Cal Seg,Cal Seg,0,0,0,,,0,0,
AUTO_IND_INCLUDE,AUTO_IND_INCLUDE,0,0,0,,,0,0,
AUTO_IND_CAL,AUTO_IND_CAL,0,0,0,,,0,0,
AUTO_IND_GAS_CAL,AUTO_IND_GAS_CAL,0,0,0,,,0,0,
AUTO_IND_GAS,AUTO_IND_GAS,0,0,0,,,0,0,
AUTO_IND_INJECTION,AUTO_IND_INJECTION,0,0,0,,,0,0,
CAL_O2,CAL_O2,0,0,0,,,0,0,
CAL_CO2,CAL_CO2,0,0,0,,,0,0,
Midpoint,Midpoint,0,0,0,,,0,0,
min_TT,min_TT,0,0,0,,,0,0,
max_TT,max_TT,0,0,0,,,0,0,
