animal id,PLYUID,start,stop,duration,mFrequency_Hz,mPeriod_s,mHeight_V,mO2_V,mCO2_V,mTchamber_V,segment,start_time,stop_time,Alias,Cal Seg,MAN_IND_INCLUDE,MAN_IND_CAL,MAN_IND_GAS_CAL,CAL_O2,CAL_CO2,MAN_IND_GAS,MAN_IND_INJECTION
M17860,Ply1189,725.5500000000001,754.6990000000001,29.15,2.713718041,0.3686856734,1.878413465,2.098893406,0.005168074604,0.02815182226,Cal 20 Room Air,0 days 00:12:05.550000,0 days 00:12:34.699000,Cal 20 Room Air,Cal 20 Room Air,0,1,1,21,0,RA,Cal
M17861,Ply1191,1784.25,1824.199,39.95,2.768264404,0.3614256225,1.875707378,2.098663319,0.003280240917,0.02859001921,Cal 20 Room Air,0 days 00:29:44.250000,0 days 00:30:24.199000,Cal 20 Room Air,Cal 20 Room Air,0,1,1,21,0,RA,Cal
M17864,Ply1179,674.25,706.249,32.0,2.709338926,0.3692779413,1.71541061,2.101881933,0.004335849613,0.02923869146,Cal 20 Room Air,0 days 00:11:14.250000,0 days 00:11:46.249000,Cal 20 Room Air,Cal 20 Room Air,0,1,1,21,0,RA,Cal
M17865,Ply1180,1457.65,1489.3990000000001,31.75,2.898613508,0.3452450885,1.70474931,2.100988197,0.007090511798,0.02918419302,Cal 20 Room Air,0 days 00:24:17.650000,0 days 00:24:49.399000,Cal 20 Room Air,Cal 20 Room Air,0,1,1,21,0,RA,Cal
M17866,Ply1170,1711.2,1744.499,33.3,2.814268623,0.3555423057,1.886233021,2.099354242,0.004611148642,0.02876956689,Cal 20 Room Air,0 days 00:28:31.200000,0 days 00:29:04.499000,Cal 20 Room Air,Cal 20 Room Air,0,1,1,21,0,RA,Cal
M17874,Ply1178,326.70000000000005,361.34900000000005,34.65,2.762987383,0.3621163823,1.870029615,2.098628717,0.003994300139,0.02847668683,Cal 20 Room Air,0 days 00:05:26.700000,0 days 00:06:01.349000,Cal 20 Room Air,Cal 20 Room Air,0,1,1,21,0,RA,Cal
M17877,Ply1183,415.65000000000003,446.949,31.3,2.815469224,0.3553934639,1.873272278,2.099047977,0.01053605232,0.02901551544,Cal 20 Room Air,0 days 00:06:55.650000,0 days 00:07:26.949000,Cal 20 Room Air,Cal 20 Room Air,0,1,1,21,0,RA,Cal
M17878,Ply1160,407.20000000000005,438.09900000000005,30.9,2.708574904,0.3694480284,1.868045939,2.100320938,0.005547077272,0.02774753201,Cal 20 Room Air,0 days 00:06:47.200000,0 days 00:07:18.099000,Cal 20 Room Air,Cal 20 Room Air,0,1,1,21,0,RA,Cal
M17884,Ply1172,3896.7000000000003,3928.3990000000003,31.7,2.874124964,0.348308044,1.830729171,2.098908748,0.005686198731,0.02996266735,Cal 20 Room Air,0 days 01:04:56.700000,0 days 01:05:28.399000,Cal 20 Room Air,Cal 20 Room Air,0,1,1,21,0,RA,Cal
M17887,Ply1169,887.75,920.599,32.85,2.848710524,0.3512699966,1.723534946,2.101113025,0.004141628595,0.02967667398,Cal 20 Room Air,0 days 00:14:47.750000,0 days 00:15:20.599000,Cal 20 Room Air,Cal 20 Room Air,0,1,1,21,0,RA,Cal
