MUID,PlyUID,Experimental_Date_record,Experimental_Date_file,time ended file,time started record,run_duration,Misc. Variable 1 Value,Capoxen,Timepoint,Group,Sex,Bigroup,Weight,Researcher,Experimental_Date,time started,Rig,Start_body_temperature,Mid_body_temperature,End_body_temperature,post30_body_temperature,Room_Temp,Bar_Pres,Rotometer_Flowrate,Pump Flowrate,Calibration_Volume,Notes,Genotype,Date of Birth,Tag Number
M17859,Ply1563,7/16/2016,7/16/2016,14:01:53,12:43:00,1:18:53,PM101_DR_AD_4months_OutOfDox_Hypercap,Cap,1,Exp,Male,Exp,38.26,,8/16/2016,12:43:00,,36.6,,37.5,37.8,70.6,29.58,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1481,7/20/2016,7/20/2016,11:45:51,9:50:00,1:55:51,PM101_DR_AD_4months_OutOfDox_Hypox,Ox,1,Exp,Male,Exp,38.34,,7/20/2016,9:50:00,1,36.6,,36.1,36.8,69.5,29.73,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1415,9/17/2016,9/17/2016,12:24:47,10:24:00,2:00:47,PM101_DR_AD_6months_OutOfDox_Hypercap,Cap,2,Exp,Male,Exp,41.18,,9/17/2016,10:24:00,,36.6,,37.1,37.7,68,29.52,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1376,9/22/2016,9/22/2016,16:01:49,13:44:00,2:17:49,PM101_DR_AD_6months_OutOfDox_Hypox,Ox,2,Exp,Male,Exp,40.82,,9/22/2016,1:44:00,,36.9,,36.9,37.3,70.5,29.49,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1286,12/20/2016,12/20/2016,11:44:42,10:21:00,1:23:42,PM101_DR_AD_3-9months_OutOfDox_Hypercap,Cap,3,Exp,Male,Exp,44.5,,12/20/2016,10:21:00,3,36.5,,37.8,37.9,70.5,30.11,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1333,12/21/2016,12/22/2016,6:47:37,15:26:00,2:00:00,PM101_DR_AD_3-9months_OutOfDox_Hypox,Ox,3,Exp,Male,Exp,44.38,Vena,12/21/2016,3:26:00,3,36.2,,36.6,37.7,74,29.73,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1242,2/27/2017,2/27/2017,13:41:13,11:45:00,1:56:13,PM101_DR_AD_4_Feb_2017_Hypercap,Cap,4,Exp,Male,Exp,46.58,Ronda,2/27/2017,11:45:00,1,35.7,,36.3,36.3,72,29.55,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1202,3/2/2017,3/2/2017,13:03:21,11:30:00,1:33:21,PM101_DR_AD_4_Feb_2017_Hypox,Ox,4,Exp,Male,Exp,46.46,Ronda,3/2/2017,11:30:00,2,35.7,,36.3,37.1,70,29.96,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1193,4/24/2017,4/24/2017,9:44:22,8:30:00,1:14:22,PM101_DR_AD_5_Apr_2017_Hypercap,Cap,5,Exp,Male,Exp,47.43,Ronda,4/24/2017,8:30:00,1,36.4,,37.9,37.6,71,29.49,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1149,5/3/2017,5/3/2017,13:57:11,12:10:00,1:47:11,PM101_DR_AD_5_Apr_2017_Hypox,Ox,5,Exp,Male,Exp,48.45,Ronda,5/3/2017,12:10:00,3,35.3,,35.9,36.3,70.5,29.23,95,,20,,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
M17859,Ply1063,6/27/2017,6/27/2017,12:39:24,10:25:00,2:14:24,PM101_DR_AD_6_JunJul_2017_Hypercap,Cap,6,Exp,Male,Exp,46.8,fred,6/27/2017,10:25:00,2,36.5,,37.6,35.7,69,29.64,95,,20,Fred forgot the vacuum pump flowrate,Tg 102 tetO-APPswe/ind/Hemizygous; Tg CaMKIIÎ±-TTA Line B/Hemizygous; ,1/27/2016,187
